ID;ELO;CART;CBF
327;America MG;América-MG;América - MG
373;Atletico GO;Atlético-GO;Atlético - GO
282;Atletico-MG;Atlético-MG;Atlético - MG
293;Atletico-PR;Atlético-PR;Atlético - PR
314;Avai;Avaí;Avaí - SC
265;Bahia;Bahia;Bahia - BA
263;Botafogo RJ;Botafogo;Botafogo - RJ
354;Ceara;Ceará;Ceará - CE
315;Chapecoense-SC;Chapecoense;Chapecoense - SC
264;Corinthians;Corinthians;Corinthians - SP
294;Coritiba;Coritiba;Coritiba - PR
283;Cruzeiro;Cruzeiro;Cruzeiro - MG
316;Figueirense;Figueirense;Figueirense - SC
262;Flamengo RJ;Flamengo;Flamengo - RJ
266;Fluminense;Fluminense;Fluminense - RJ
210;Goias;Goiás;Goiás - GO
284;Gremio;Grêmio;Grêmio - RS
285;Internacional;Internacional;Internacional - RS
221;Sao Caetano;São Caetano;São Caetano - SP
218;Paysandu PA;Paysandu;Paysandu - PA
216;Juventude;Juventude;Juventude - RS
213;Guarani;Guarani;Guarani - SP
206;Criciuma;Criciuma;Criciuma - SC
289;Parana;Paraná;Paraná - PR
209;Fortaleza;Fortaleza;Fortaleza - CE
203;Brasiliense;Brasiliense;Brasiliense - DF
344;Santa Cruz;Santa Cruz;Santa Cruz - PE
200;America RN;América-RN;América - RN
214;Ipatinga;Ipatinga;Ipatinga - MG
211;Barueri;Grêmio Barueri;Grêmio Barueri - SP
215;Joinville;Joinville;Joinville - SC
999;Nautico;Náutico;Náutico - PE
275;Palmeiras;Palmeiras;Palmeiras - SP
303;Ponte Preta;Ponte Preta;Ponte Preta - SP
219;Portuguesa;Portuguesa;Portuguesa - SP
220;Santo Andre;Santo André;Santo André - SP
277;Santos;Santos;Santos - SP
276;Sao Paulo;São Paulo;São Paulo - SP
292;Sport Recife;Sport;Sport - PE
267;Vasco;Vasco;Vasco da Gama - RJ
287;Vitoria;Vitória;Vitória - BA
